iso3c,short_name,country_group,year,agriculture_pct_gdp,industry_pct_gdp,services_pct_gdp,empl_agri,empl_ind,empl_svc,rel_prod_agri,rel_prod_ind,rel_prod_svc,prod_gap_ratio
BRN,Brunei,ASEAN,1991,0.590984440114965,74.1364608428723,27.1622986156498,2.6286322668282,23.9798447051049,73.3915230280669,0.2248258334088197,3.091615552751679,0.37010130727580354,4.627289213442192
BRN,Brunei,ASEAN,1992,0.645461650670348,71.1484370683743,30.095845978994,2.53763822889373,23.7118621485988,73.7496114047164,0.2543552675559012,3.00054194910958,0.4080814177289255,4.0841040679559875
BRN,Brunei,ASEAN,1993,0.744869394720749,68.2043464165018,32.9405289323453,2.44712913114036,23.2056532976138,74.3463589294454,0.30438499760478127,2.939126321581093,0.443068489253197,3.406311871224215
BRN,Brunei,ASEAN,1994,0.856251608686862,64.7093235188572,36.3241695997387,2.36127018906761,22.7204820477068,74.9190777351726,0.3626233086968198,2.848061206755443,0.4848453918258184,2.8535391776145334
BRN,Brunei,ASEAN,1995,0.725955289117546,67.1570265167052,34.0067621638378,2.26142742582197,22.9117882919006,74.8275862068966,0.32101639912396496,2.931112389007428,0.4544682501158044,3.22424705226966
BRN,Brunei,ASEAN,1996,0.892474457082103,64.6390237012655,36.3582456783223,2.18852478079866,22.3364420773542,75.4750331418471,0.40779728194643144,2.8938818222441873,0.4817254682086849,2.532068766731882
BRN,Brunei,ASEAN,1997,0.943620597174824,67.3060456717841,33.6400785671654,2.11309836139304,22.0274950152167,75.8594066233902,0.4465578197470898,3.05554697096918,0.4434529620588009,2.3093372887031567
BRN,Brunei,ASEAN,1998,1.15034843728791,61.4253856362609,39.3140103555396,2.03211895047118,21.092944575934,76.8749364735948,0.5660832192038675,2.912129476049741,0.5114021833246428,1.8164997684688475
BRN,Brunei,ASEAN,1999,1.08055722659612,64.1790891245916,36.6300974517195,1.97710937335329,20.1378496300824,77.8850409965643,0.5465338646204653,3.1869881990140274,0.4703097922659544,1.8817222837580376
BRN,Brunei,ASEAN,2000,1.06879058453918,66.2665822504809,34.5543710706822,1.91296421015395,19.6793131832622,78.4077226065838,0.5587091378218556,3.367321899569263,0.44070111874134077,1.8397271389932786
BRN,Brunei,ASEAN,2001,1.18819267076199,62.7475892350944,37.9539611480668,1.8393756791465,19.4033389311469,78.7572853897066,0.6459760690721597,3.2338552378925782,0.48191047926884606,1.5881167109925458
BRN,Brunei,ASEAN,2002,1.15449001142175,63.0811813132522,37.6540737570955,1.79710182081536,19.4476667798935,78.754590492793,0.6424176961202723,3.2436375030073217,0.47811909783901807,1.5967705874452929
BRN,Brunei,ASEAN,2003,1.2372583372265,66.4844984729556,34.1679873818669,1.7637984123316,19.4935949884141,78.7432311737629,0.7014737787358272,3.410581707092522,0.4339165014256057,1.4606250373549465
BRN,Brunei,ASEAN,2004,1.17049480864283,70.1910452305488,30.528204400637,1.73192633369301,19.3438065802228,78.9242670860842,0.6758340616872358,3.6286056180024286,0.3868037743998219,1.5165612765430696
BRN,Brunei,ASEAN,2005,0.974611267785546,73.153005169136,27.7621281199365,1.70338053688075,19.2127974061889,79.0838220569303,0.5721629704483213,3.8075145239168386,0.35104686897847825,1.7943120284324436
BRN,Brunei,ASEAN,2006,0.754742504053329,74.9262615378504,26.2087407606151,1.67016684167542,19.2468790106172,79.0835375102088,0.45189647238847863,3.892904480592342,0.3314057714885585,2.276012582920484
BRN,Brunei,ASEAN,2007,0.726342513402553,73.3951062711011,27.7682953911214,1.63636154923434,18.7535872534839,79.6100511972817,0.4438765465629595,3.9136569062255706,0.3488038881209707,2.31700323918663
BRN,Brunei,ASEAN,2008,0.69216612734937,76.4320816379343,24.7654962427286,1.61294891478622,18.6653371782742,79.7217139069396,0.429130842895362,4.0948674491076735,0.3106493203550259,2.3968587677777156
BRN,Brunei,ASEAN,2009,0.979917546380161,67.2954813573315,33.6143461570051,1.57138230268375,18.2501479802097,80.1784697171065,0.6236022543378328,3.6873937367689367,0.41924404738088067,1.6440097970744467
