iso3c,country,year,country_group,sector,pct_of_gdp
BRN,Brunei Darussalam,1983,ASEAN,Manufacturing,0.302659578939165
BRN,Brunei Darussalam,1984,ASEAN,Agriculture,0.138438734141999
BRN,Brunei Darussalam,1984,ASEAN,Industry,91.5277648718098
BRN,Brunei Darussalam,1984,ASEAN,Services,10.2235407976
BRN,Brunei Darussalam,1984,ASEAN,Manufacturing,0.27261525893041
BRN,Brunei Darussalam,1985,ASEAN,Agriculture,0.166982526805242
BRN,Brunei Darussalam,1985,ASEAN,Industry,90.5476800653666
BRN,Brunei Darussalam,1985,ASEAN,Services,11.17508181138
BRN,Brunei Darussalam,1985,ASEAN,Manufacturing,0.281566416744191
BRN,Brunei Darussalam,1986,ASEAN,Agriculture,0.342778524320279
BRN,Brunei Darussalam,1986,ASEAN,Industry,81.1930616794929
BRN,Brunei Darussalam,1986,ASEAN,Services,20.3539041997385
BRN,Brunei Darussalam,1986,ASEAN,Manufacturing,0.485349057136336
BRN,Brunei Darussalam,1987,ASEAN,Agriculture,0.390456866642861
BRN,Brunei Darussalam,1987,ASEAN,Industry,82.0181063447646
BRN,Brunei Darussalam,1987,ASEAN,Services,19.4811811921445
BRN,Brunei Darussalam,1987,ASEAN,Manufacturing,0.366194438914467
BRN,Brunei Darussalam,1988,ASEAN,Agriculture,0.524939407201023
BRN,Brunei Darussalam,1988,ASEAN,Industry,76.2923041473885
BRN,Brunei Darussalam,1988,ASEAN,Services,25.0725008489622
BRN,Brunei Darussalam,1988,ASEAN,Manufacturing,0.405654884067013
BRN,Brunei Darussalam,1989,ASEAN,Agriculture,0.578052221118683
BRN,Brunei Darussalam,1989,ASEAN,Industry,75.1295698530591
BRN,Brunei Darussalam,1989,ASEAN,Services,26.1821223293739
BRN,Brunei Darussalam,1989,ASEAN,Manufacturing,0.422143365059634
BRN,Brunei Darussalam,1990,ASEAN,Agriculture,0.574692028219198
BRN,Brunei Darussalam,1990,ASEAN,Industry,76.275945028822
BRN,Brunei Darussalam,1990,ASEAN,Services,25.0391073465101
BRN,Brunei Darussalam,1990,ASEAN,Manufacturing,0.413724624316973
BRN,Brunei Darussalam,1991,ASEAN,Agriculture,0.590984440114965
BRN,Brunei Darussalam,1991,ASEAN,Industry,74.1364608428723
BRN,Brunei Darussalam,1991,ASEAN,Services,27.1622986156498
BRN,Brunei Darussalam,1991,ASEAN,Manufacturing,0.503861028523983
BRN,Brunei Darussalam,1992,ASEAN,Agriculture,0.645461650670348
BRN,Brunei Darussalam,1992,ASEAN,Industry,71.1484370683743
BRN,Brunei Darussalam,1992,ASEAN,Services,30.095845978994
BRN,Brunei Darussalam,1992,ASEAN,Manufacturing,0.564319230744791
BRN,Brunei Darussalam,1993,ASEAN,Agriculture,0.744869394720749
BRN,Brunei Darussalam,1993,ASEAN,Industry,68.2043464165018
BRN,Brunei Darussalam,1993,ASEAN,Services,32.9405289323453
BRN,Brunei Darussalam,1993,ASEAN,Manufacturing,0.471507350153554
BRN,Brunei Darussalam,1994,ASEAN,Agriculture,0.856251608686862
BRN,Brunei Darussalam,1994,ASEAN,Industry,64.7093235188572
BRN,Brunei Darussalam,1994,ASEAN,Services,36.3241695997387
BRN,Brunei Darussalam,1994,ASEAN,Manufacturing,0.667197372217981
BRN,Brunei Darussalam,1995,ASEAN,Agriculture,0.725955289117546
BRN,Brunei Darussalam,1995,ASEAN,Industry,67.1570265167052
BRN,Brunei Darussalam,1995,ASEAN,Services,34.0067621638378
BRN,Brunei Darussalam,1995,ASEAN,Manufacturing,0.697869323100182
BRN,Brunei Darussalam,1996,ASEAN,Agriculture,0.892474457082103
BRN,Brunei Darussalam,1996,ASEAN,Industry,64.6390237012655
BRN,Brunei Darussalam,1996,ASEAN,Services,36.3582456783223
BRN,Brunei Darussalam,1996,ASEAN,Manufacturing,0.901592812858857
BRN,Brunei Darussalam,1997,ASEAN,Agriculture,0.943620597174824
BRN,Brunei Darussalam,1997,ASEAN,Industry,67.3060456717841
BRN,Brunei Darussalam,1997,ASEAN,Services,33.6400785671654
BRN,Brunei Darussalam,1997,ASEAN,Manufacturing,0.992530194204995
BRN,Brunei Darussalam,1998,ASEAN,Agriculture,1.15034843728791
BRN,Brunei Darussalam,1998,ASEAN,Industry,61.4253856362609
BRN,Brunei Darussalam,1998,ASEAN,Services,39.3140103555396
BRN,Brunei Darussalam,1998,ASEAN,Manufacturing,1.49413767005418
BRN,Brunei Darussalam,1999,ASEAN,Agriculture,1.08055722659612
BRN,Brunei Darussalam,1999,ASEAN,Industry,64.1790891245916
BRN,Brunei Darussalam,1999,ASEAN,Services,36.6300974517195
BRN,Brunei Darussalam,1999,ASEAN,Manufacturing,1.85091778701715
BRN,Brunei Darussalam,2000,ASEAN,Agriculture,1.06879058453918
BRN,Brunei Darussalam,2000,ASEAN,Industry,66.2665822504809
BRN,Brunei Darussalam,2000,ASEAN,Services,34.5543710706822
BRN,Brunei Darussalam,2000,ASEAN,Manufacturing,2.45967144900584
BRN,Brunei Darussalam,2001,ASEAN,Agriculture,1.18819267076199
BRN,Brunei Darussalam,2001,ASEAN,Industry,62.7475892350944
BRN,Brunei Darussalam,2001,ASEAN,Services,37.9539611480668
BRN,Brunei Darussalam,2001,ASEAN,Manufacturing,2.29641462020682
BRN,Brunei Darussalam,2002,ASEAN,Agriculture,1.15449001142175
BRN,Brunei Darussalam,2002,ASEAN,Industry,63.0811813132522
