iso2c,iso3c,country,year,country_group,is_thailand,gdp_current_usd,gdp_constant_2015_usd,gdp_pc_current_usd,gdp_pc_constant_2015,gdp_ppp_current,gdp_pc_ppp_current,population,agriculture_pct_gdp,industry_pct_gdp,services_pct_gdp,manufacturing_pct_gdp,gdp_growth_annual,gdp_pc_growth_annual,region,income,lending
BN,BRN,Brunei Darussalam,1986,ASEAN,FALSE,4190280002.67381,11238334169.2837,18500.5408625966,49618.4647311583,NA,NA,226495,0.342778524320279,81.1930616794929,20.3539041997385,0.485349057136336,-5.40722031824915,-8.571241152567277,East Asia & Pacific,High income,Not classified
BN,BRN,Brunei Darussalam,1987,ASEAN,FALSE,4918010080.03047,11472489831.7877,21029.7189772961,49057.0847164443,NA,NA,233860,0.390456866642861,82.0181063447646,19.4811811921445,0.366194438914467,2.08354422440995,-1.1313933588144365,East Asia & Pacific,High income,Not classified
BN,BRN,Brunei Darussalam,1988,ASEAN,FALSE,4535130304.71096,11296288084.0505,18824.7637309359,46889.4915760067,NA,NA,240913,0.524939407201023,76.2923041473885,25.0725008489622,0.405654884067013,-1.5358631850688975,-4.418511929452262,East Asia & Pacific,High income,Not classified
BN,BRN,Brunei Darussalam,1989,ASEAN,FALSE,4983622880.99938,10988327048.8558,20090.0690184766,44296.3390449877,NA,NA,248064,0.578052221118683,75.1295698530591,26.1821223293739,0.422143365059634,-2.726214424626061,-5.53034900541749,East Asia & Pacific,High income,Not classified
BN,BRN,Brunei Darussalam,1990,ASEAN,FALSE,6039881086.68157,11278756616.4487,23658.7166330381,44179.827869454,17921687480.1464,70200.7406426618,255292,0.574692028219198,76.275945028822,25.0391073465101,0.413724624316973,2.6430735661725713,-0.2630266474513143,East Asia & Pacific,High income,Not classified
BN,BRN,Brunei Darussalam,1991,ASEAN,FALSE,6284497293.85546,11607042426.7693,23932.1897281583,44201.1394947727,19067044652.1087,72609.8061360747,262596,0.590984440114965,74.1364608428723,27.1622986156498,0.503861028523983,2.9106560366932266,0.04823836204539411,East Asia & Pacific,High income,Not classified
BN,BRN,Brunei Darussalam,1992,ASEAN,FALSE,6327966435.17026,11244830875.618,23450.8964055243,41672.3708419389,18892985637.7128,70015.7710253626,269839,0.645461650670348,71.1484370683743,30.095845978994,0.564319230744791,-3.120618826342292,-5.721048556073671,East Asia & Pacific,High income,Not classified
BN,BRN,Brunei Darussalam,1993,ASEAN,FALSE,6203339912.15448,11173578043.1446,22397.0737447404,40342.0504065212,19218257786.3535,69387.2563782978,276971,0.744869394720749,68.2043464165018,32.9405289323453,0.471507350153554,-0.6336496587769691,-3.1923320140904266,East Asia & Pacific,High income,Not classified
BN,BRN,Brunei Darussalam,1994,ASEAN,FALSE,6467782517.72242,11284502058.5432,22766.587177075002,39721.4345352129,19823465754.1336,69778.5771254058,284091,0.856251608686862,64.7093235188572,36.3241695997387,0.667197372217981,0.9927349589387457,-1.538384551738048,East Asia & Pacific,High income,Not classified
BN,BRN,Brunei Darussalam,1995,ASEAN,FALSE,7700144069.1419,11436537451.0601,26443.2564746713,39274.4980204335,20511782238.761,70440.0221115094,291195,0.725955289117546,67.1570265167052,34.0067621638378,0.697869323100182,1.3472937638555171,-1.125177174513159,East Asia & Pacific,High income,Not classified
