iso2c,iso3c,country,short_name,year,country_group,empl_agri,empl_ind,empl_svc,empl_agri_fe,empl_ind_fe,empl_svc_fe,empl_agri_ma,empl_ind_ma,empl_svc_ma,labor_force,labor_force_fe,lfp_rate,lfp_rate_fe,lfp_rate_ma
BN,BRN,Brunei Darussalam,Brunei,1991,ASEAN,2.6286322668282,23.9798447051049,73.3915230280669,2.82899493853941,10.4000964087732,86.767895878525,2.54085161426573,29.927932208759,67.5312161769753,114327,31.1483726503801,66.357,46.434,82.339
BN,BRN,Brunei Darussalam,Brunei,1992,ASEAN,2.53763822889373,23.7118621485988,73.7496114047164,2.4834247828075,10.6310013717421,86.8855738454504,2.56208678617917,29.6109185106904,67.825705927081,118249,31.7584081049311,66.742,47.474,82.284
BN,BRN,Brunei Darussalam,Brunei,1993,ASEAN,2.44712913114036,23.2056532976138,74.3463589294454,2.1568308676096,10.7164146751206,87.1240448707527,2.58179669922194,28.9993338109783,68.4188694897998,122467,32.3621873647595,67.09,48.497,82.16
BN,BRN,Brunei Darussalam,Brunei,1994,ASEAN,2.36127018906761,22.7204820477068,74.9190777351726,1.87103240895423,10.7404456552469,87.3885219357989,2.59509420547458,28.4332593745786,68.9704205842333,126837,32.9612021728675,67.382,49.487,81.952
BN,BRN,Brunei Darussalam,Brunei,1995,ASEAN,2.26142742582197,22.9117882919006,74.8275862068966,1.61144835320217,11.0461005875326,87.3424510592652,2.58003608943488,28.7269511597615,68.6930127508036,131354,33.551319335536,67.612,50.431,81.66
BN,BRN,Brunei Darussalam,Brunei,1996,ASEAN,2.18852478079866,22.3364420773542,75.4750331418471,1.39338950097213,11.0753633922785,87.5312471067494,2.58897035681397,28.0077401004814,69.4032895427046,135999,34.1421628100207,67.796,51.337,81.311
BN,BRN,Brunei Darussalam,Brunei,1997,ASEAN,2.11309836139304,22.0274950152167,75.8594066233902,1.20015826262804,11.1794961973007,87.6203455400712,2.58554008554009,27.6412776412776,69.7731822731823,140730,34.7381510694237,67.959,52.222,80.942
BN,BRN,Brunei Darussalam,Brunei,1998,ASEAN,2.03211895047118,21.092944575934,76.8749364735948,1.01893503504551,11.1622554660529,87.8167172298358,2.5704883038335,26.369741172285,71.0597705238815,145533,35.3328798279428,68.118,53.105,80.562
BN,BRN,Brunei Darussalam,Brunei,1999,ASEAN,1.97710937335329,20.1378496300824,77.8850409965643,0.879619494915322,10.9594220780513,88.1609584270334,2.57602085143354,25.1455256298871,72.2784535186794,150477,35.925091542229,68.271,53.986,80.163
BN,BRN,Brunei Darussalam,Brunei,2000,ASEAN,1.91296421015395,19.6793131832622,78.4077226065838,0.752335651613637,11.161856392958,88.0858079554284,2.56293246168867,24.4502695589421,72.9867979793692,155602,36.5123841595866,68.406,54.851,79.738
